SIGN_DATE,LAND_USE_TERM,LAND_FLOOR­_AREA,LAND_GRANT_AREA,LAND_PREMIUM
2014/01,2,63375,196463,61791
2014/01,1,40918,106387,73400
2014/02,0,16988,42470,6375
2014/03,0,9141,23767,3565
2014/04,1,33598,50397,40320
2014/05,0,23945,69225,10957
2014/06,0,134773,374495,77008
2014/06,2,107424,257818,62844
2014/10,1,60114,132251,63120
2014/11,0,86915,139064,33407
2014/12,0,33953,84883,15127
2015/01,0,46639,139917,5778.6
2015/04,1,15316,18379,17920
2015/05,0,10333,18599,3430
2015/06,0,4980,9462,1719
2015/06,1,97230,130435,110700
2015/07,1,69152,70535,88200
2015/07,2,79029,226615,58538
2015/07,0,28092,98322,8245
2015/08,0,9357,18714,2948
2015/09,0,12277,17188,2597
2015/09,2,252730,527214,161069
2015/09,1,33683,79289,33266
2015/10,1,68771,103157,72230
2015/12,1,142133,213199.5,186700
2015/12,0,30868,67769,10941
2016/02,0,24172,48636,7886
2016/05,0,34307,129853,20254
2016/06,1,92840,194889,327384
2016/06,0,51452,102904,15436
2016/07,1,95304,190608,374820
2016/09,3,2752,1376,13600
2016/12,0,3509,5614,1974
2017/08,0,9412,19765,8401.4
2017/08,2,43682,65523,112600
2017/11,0,43765,148298.2,56810.6
2017/11,3,4590,4590,1266
2017/12,2,107516,483822,684987
2018/03,1,38381,57571.5,155429
2018/03,0,4971,8993,339
2018/05,0,32640,81600,32640
2018/05,1,57820,86730,234114
